SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Model Name,Predicted Label,Predicted Probability
6.0,4.0,1.5,0.4,SVM,Iris-setosa,0.9026078007540409
5.4,3.9,1.7,0.2,SVM,Iris-setosa,0.9452770097578815
5.0,3.6,1.4,0.3,SVM,Iris-setosa,0.9638191189840151
6.7,3.1,4.4,1.4,SVM,Iris-versicolor,0.9720816193670501
4.6,3.1,1.5,0.3,SVM,Iris-setosa,0.9459032662731947
5.6,3.0,4.5,1.5,SVM,Iris-versicolor,0.8964158021836838
7.7,2.6,6.9,2.3,SVM,Iris-virginica,0.9594794204116652
6.9,3.2,5.7,2.3,SVM,Iris-virginica,0.976879825159539
5.1,3.0,1.6,0.2,SVM,Iris-setosa,0.9386500217579102
5.6,2.9,3.6,1.3,SVM,Iris-versicolor,0.9778933036271071
6.0,4.0,1.5,0.4,LogReg,Iris-setosa,0.9245409881337592
5.4,3.9,1.7,0.2,LogReg,Iris-setosa,0.894369416003648
5.0,3.6,1.4,0.3,LogReg,Iris-setosa,0.8985346149782265
6.7,3.1,4.4,1.4,LogReg,Iris-versicolor,0.7914660155945411
4.6,3.1,1.5,0.3,LogReg,Iris-setosa,0.8357278079444425
5.6,3.0,4.5,1.5,LogReg,Iris-virginica,0.5288809829674767
7.7,2.6,6.9,2.3,LogReg,Iris-virginica,0.5841306440830257
6.9,3.2,5.7,2.3,LogReg,Iris-virginica,0.7440711384476845
5.1,3.0,1.6,0.2,LogReg,Iris-setosa,0.7837703110885241
5.6,2.9,3.6,1.3,LogReg,Iris-versicolor,0.6532457943541714
6.0,4.0,1.5,0.4,DecTree,Iris-setosa,1.0
5.4,3.9,1.7,0.2,DecTree,Iris-setosa,1.0
5.0,3.6,1.4,0.3,DecTree,Iris-setosa,1.0
6.7,3.1,4.4,1.4,DecTree,Iris-versicolor,1.0
4.6,3.1,1.5,0.3,DecTree,Iris-setosa,1.0
5.6,3.0,4.5,1.5,DecTree,Iris-versicolor,1.0
7.7,2.6,6.9,2.3,DecTree,Iris-virginica,1.0
6.9,3.2,5.7,2.3,DecTree,Iris-virginica,1.0
5.1,3.0,1.6,0.2,DecTree,Iris-setosa,1.0
5.6,2.9,3.6,1.3,DecTree,Iris-versicolor,1.0
6.0,4.0,1.5,0.4,KNN,Iris-setosa,1.0
5.4,3.9,1.7,0.2,KNN,Iris-setosa,1.0
5.0,3.6,1.4,0.3,KNN,Iris-setosa,1.0
6.7,3.1,4.4,1.4,KNN,Iris-versicolor,1.0
4.6,3.1,1.5,0.3,KNN,Iris-setosa,1.0
5.6,3.0,4.5,1.5,KNN,Iris-versicolor,1.0
7.7,2.6,6.9,2.3,KNN,Iris-virginica,1.0
6.9,3.2,5.7,2.3,KNN,Iris-virginica,1.0
5.1,3.0,1.6,0.2,KNN,Iris-setosa,1.0
5.6,2.9,3.6,1.3,KNN,Iris-versicolor,1.0
